Ticker,Date,Time,Open,High,Low,Close,Volume ,Day_close,Day_open,candle_open,Gap_down,Threshold,SL,Signal,Exit_price,Entry_price,Returns
ACC.EQ-NSE,5/23/2011 0:00,7/14/2018 15:29,968.6,968.6,962.75,964,5467,964,,970.8,,984,989.8,Sell,964,984,0.020325203
ACC.EQ-NSE,1/16/2012 0:00,7/14/2018 14:39,1120,1126.45,1120,1126.35,7809,,,,,1116.85,1122.9,,,,
ACC.EQ-NSE,4/4/2013 0:00,7/14/2018 15:19,1138.75,1141.8,1138.15,1139.9,16550,,,,,1138.55,1156,Sell,1139.9,1138.55,-0.001185719
ACC.EQ-NSE,4/5/2013 0:00,7/14/2018 15:19,1127.65,1130,1125.3,1130,9487,,,,,1133,1143,Sell,1130,1133,0.002647838
ACC.EQ-NSE,4/12/2013 0:00,7/14/2018 12:49,1144.25,1150,1144.25,1147.05,7884,,,,,1138.65,1145.85,,,,
ACC.EQ-NSE,5/29/2013 0:00,7/14/2018 15:19,1236.95,1239,1235.35,1239,3255,,,,,1225,1249.8,,,,
ACC.EQ-NSE,5/30/2013 0:00,7/14/2018 15:04,1227.05,1237.8,1227.05,1237.45,15517,,,,,1222.6,1234,,,,
ACC.EQ-NSE,5/31/2013 0:00,7/14/2018 15:19,1217,1223.1,1216.7,1219.45,13788,,,,,1228,1243.95,Sell,1219.45,1228,0.006962541
ACC.EQ-NSE,6/5/2013 0:00,7/14/2018 15:19,1203,1205.05,1203,1204.25,4564,,,,,1194.5,1212.3,,,,
ACC.EQ-NSE,6/7/2013 0:00,7/14/2018 11:14,1202,1207,1201.85,1206.4,7037,,,,,1195.15,1202.9,,,,
ACC.EQ-NSE,6/11/2013 0:00,7/14/2018 12:09,1221.5,1227,1221.5,1226.55,2406,,,,,1213.1,1224.5,,,,
ACC.EQ-NSE,6/20/2013 0:00,7/14/2018 15:24,1175.1,1175.8,1172.05,1173,5733,,,,,1179.25,1204,Sell,1173,1179.25,0.005299979
ACC.EQ-NSE,7/22/2013 0:00,7/14/2018 15:19,1241.25,1244,1241,1242.8,3449,,,,,1270,1277.95,Sell,1242.8,1270,0.021417323
ACC.EQ-NSE,7/24/2013 0:00,7/14/2018 15:24,1231.95,1239.8,1231.9,1235.95,6810,,,,,1232.3,1242.45,Sell,1235.95,1232.3,-0.002961941
ACC.EQ-NSE,7/30/2013 0:00,7/14/2018 15:19,1174,1175.75,1174,1175,6557,,,,,1182.85,1195.95,Sell,1175,1182.85,0.006636514
ACC.EQ-NSE,8/19/2013 0:00,7/14/2018 12:49,1135.4,1145.9,1135,1142.75,6126,,,,,1131,1145.55,,,,
ACC.EQ-NSE,8/20/2013 0:00,7/14/2018 15:24,1079.5,1080,1074.05,1074.8,31240,,,,,1092.05,1111.85,Sell,1074.8,1092.05,0.01579598
ACC.EQ-NSE,8/22/2013 0:00,7/14/2018 15:19,998.1,1000,996.15,999.2,10405,,,,,992.45,1020,,,,
ACC.EQ-NSE,8/27/2013 0:00,7/14/2018 12:09,993.5,995.45,986.9,988,5054,,,,,986,994.9,,,,
ACC.EQ-NSE,8/30/2013 0:00,7/14/2018 15:04,950.05,962.5,950.05,961,17372,,,,,943.1,956.45,,,,
ACC.EQ-NSE,9/23/2013 0:00,7/14/2018 15:19,1113.4,1113.5,1108.65,1109,9185,,,,,1107.15,1138,,,,
ACC.EQ-NSE,9/24/2013 0:00,7/14/2018 15:19,1100.3,1100.3,1095,1098.2,8878,,,,,1095.5,1107.9,Sell,1098.2,1095.5,-0.002464628
ACC.EQ-NSE,10/22/2013 0:00,7/14/2018 15:19,1132.5,1137.05,1132.5,1135.7,12640,,,,,1137,1142.9,Sell,1135.7,1137,0.00114336
ACC.EQ-NSE,11/6/2013 0:00,7/14/2018 15:19,1111.6,1113.5,1108.2,1109.75,6954,,,,,1129,1137,Sell,1109.75,1129,0.017050487
ACC.EQ-NSE,11/8/2013 0:00,7/14/2018 15:19,1090.8,1091.65,1087.1,1088,9634,,,,,1106.8,1117.05,Sell,1088,1106.8,0.016985905
ACC.EQ-NSE,11/11/2013 0:00,7/14/2018 15:19,1051.55,1052.3,1047.1,1047.15,9002,,,,,1060,1083.9,Sell,1047.15,1060,0.012122642
ACC.EQ-NSE,11/12/2013 0:00,7/14/2018 15:19,1022.6,1026.6,1020.35,1026.05,22115,,,,,1046.4,1059.7,Sell,1026.05,1046.4,0.01944763
ACC.EQ-NSE,12/12/2013 0:00,7/14/2018 15:19,1120,1121.7,1119.5,1120,6154,,,,,1124.1,1133,Sell,1120,1124.1,0.003647362
ACC.EQ-NSE,1/3/2014 0:00,7/14/2018 9:59,1088.85,1094.5,1088.6,1091.3,4305,,,,,1087,1094.35,,,,
